Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run1_sub013_sent_learnable_co-tt_stats.nii.gz[1]	0.049993	-0.233215	-0.933897	-0.239198	
run1_sub016_sent_learnable_co-tt_stats.nii.gz[1]	-0.469411	-0.997981	-1.182670	-1.494562	
run1_sub019_sent_learnable_co-tt_stats.nii.gz[1]	-0.855288	-0.385730	-1.167694	-0.883855	
run1_sub021_sent_learnable_co-tt_stats.nii.gz[1]	0.050000	0.630511	-0.959843	-0.097251	
run1_sub023_sent_learnable_co-tt_stats.nii.gz[1]	0.666085	0.728742	0.269039	1.230524	
run1_sub027_sent_learnable_co-tt_stats.nii.gz[1]	-0.571275	-0.178475	-0.042349	-0.176474	
run1_sub028_sent_learnable_co-tt_stats.nii.gz[1]	-1.660331	-0.397384	-2.075442	-0.825088	
run1_sub033_sent_learnable_co-tt_stats.nii.gz[1]	0.333441	1.891102	-0.070834	1.571659	
run1_sub035_sent_learnable_co-tt_stats.nii.gz[1]	0.650910	1.332466	0.279769	1.230182	
run1_sub039_sent_learnable_co-tt_stats.nii.gz[1]	-0.236837	0.261533	-0.102707	0.485458	
run1_sub046_sent_learnable_co-tt_stats.nii.gz[1]	-1.330556	0.105863	-0.525939	0.374184	
run1_sub050_sent_learnable_co-tt_stats.nii.gz[1]	-0.140316	-0.931600	-1.521892	-0.959102	
run1_sub057_sent_learnable_co-tt_stats.nii.gz[1]	0.427810	-0.487365	0.344936	-0.248614	
run1_sub067_sent_learnable_co-tt_stats.nii.gz[1]	0.350675	0.727620	0.113588	0.480745	
run1_sub069_sent_learnable_co-tt_stats.nii.gz[1]	0.687938	0.826705	0.164474	0.321971	
run1_sub073_sent_learnable_co-tt_stats.nii.gz[1]	-0.027863	-0.502755	1.519448	0.455291	
run1_sub013_sent_learnable_tt_nn.nii.gz	0.434801	0.866683	0.136049	0.766597	
run1_sub016_sent_learnable_tt_nn.nii.gz	0.162010	0.311625	0.073317	0.363892	
run1_sub019_sent_learnable_tt_nn.nii.gz	0.061511	0.575149	0.035814	0.273153	
run1_sub021_sent_learnable_tt_nn.nii.gz	0.452491	1.257279	0.073102	0.939152	
run1_sub023_sent_learnable_tt_nn.nii.gz	0.930116	1.348934	0.641288	1.706169	
run1_sub027_sent_learnable_tt_nn.nii.gz	0.246952	0.689715	0.409516	0.753890	
run1_sub028_sent_learnable_tt_nn.nii.gz	0.012541	0.533531	0.012999	0.305228	
run1_sub033_sent_learnable_tt_nn.nii.gz	0.706667	2.227924	0.443250	2.148250	
run1_sub035_sent_learnable_tt_nn.nii.gz	0.815513	1.667649	0.567852	1.555192	
run1_sub039_sent_learnable_tt_nn.nii.gz	0.259744	0.819603	0.420392	0.875989	
run1_sub046_sent_learnable_tt_nn.nii.gz	0.106381	0.857266	0.353958	0.997366	
run1_sub050_sent_learnable_tt_nn.nii.gz	0.401166	0.307689	0.101698	0.426133	
run1_sub057_sent_learnable_tt_nn.nii.gz	0.762387	0.517002	0.598632	0.662950	
run1_sub067_sent_learnable_tt_nn.nii.gz	0.553825	1.233876	0.339697	0.845733	
run1_sub069_sent_learnable_tt_nn.nii.gz	0.748136	1.061928	0.524091	0.870778	
run1_sub073_sent_learnable_tt_nn.nii.gz	0.442289	0.352529	1.528549	0.663419	
