Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run2_sub013_sent_learnable_co-tt_stats.nii.gz[1]	0.974107	-0.446338	-1.029217	-0.398228	
run2_sub016_sent_learnable_co-tt_stats.nii.gz[1]	1.866471	1.167626	1.582238	0.378492	
run2_sub019_sent_learnable_co-tt_stats.nii.gz[1]	1.584277	0.224335	0.946127	-0.154705	
run2_sub021_sent_learnable_co-tt_stats.nii.gz[1]	1.100968	1.107062	0.374986	0.870868	
run2_sub023_sent_learnable_co-tt_stats.nii.gz[1]	3.160039	3.217619	2.998384	3.248834	
run2_sub027_sent_learnable_co-tt_stats.nii.gz[1]	0.581495	0.759402	0.106249	0.251369	
run2_sub028_sent_learnable_co-tt_stats.nii.gz[1]	0.675971	0.866283	-0.352580	0.236262	
run2_sub033_sent_learnable_co-tt_stats.nii.gz[1]	0.628427	1.477870	-0.550777	0.930770	
run2_sub035_sent_learnable_co-tt_stats.nii.gz[1]	-0.470236	0.533474	0.460692	1.109349	
run2_sub039_sent_learnable_co-tt_stats.nii.gz[1]	-0.106235	0.669531	-1.794733	0.531962	
run2_sub046_sent_learnable_co-tt_stats.nii.gz[1]	-0.021393	1.250908	-0.595437	1.267072	
run2_sub050_sent_learnable_co-tt_stats.nii.gz[1]	-0.915995	-0.035617	-1.165679	-0.345351	
run2_sub057_sent_learnable_co-tt_stats.nii.gz[1]	0.816079	0.848773	1.291056	1.202801	
run2_sub067_sent_learnable_co-tt_stats.nii.gz[1]	0.432548	0.865644	0.418959	0.332549	
run2_sub069_sent_learnable_co-tt_stats.nii.gz[1]	0.838575	0.972799	0.212114	0.135269	
run2_sub073_sent_learnable_co-tt_stats.nii.gz[1]	1.353770	1.149172	1.711329	0.795162	
run2_sub013_sent_learnable_tt_nn.nii.gz	1.339249	0.912409	0.104966	0.746955	
run2_sub016_sent_learnable_tt_nn.nii.gz	1.929468	1.679008	1.632881	1.187025	
run2_sub019_sent_learnable_tt_nn.nii.gz	1.618629	0.588543	1.017363	0.398660	
run2_sub021_sent_learnable_tt_nn.nii.gz	1.196071	1.667419	0.694290	1.748843	
run2_sub023_sent_learnable_tt_nn.nii.gz	3.165847	3.294139	2.999951	3.381556	
run2_sub027_sent_learnable_tt_nn.nii.gz	0.877352	1.318593	0.573651	1.260600	
run2_sub028_sent_learnable_tt_nn.nii.gz	0.861396	1.185568	0.215704	0.761514	
run2_sub033_sent_learnable_tt_nn.nii.gz	0.825342	2.071351	0.218479	1.920463	
run2_sub035_sent_learnable_tt_nn.nii.gz	0.183629	1.056049	0.625978	1.361979	
run2_sub039_sent_learnable_tt_nn.nii.gz	0.365090	1.285683	0.018673	1.116737	
run2_sub046_sent_learnable_tt_nn.nii.gz	0.413869	1.578871	0.109665	1.647765	
run2_sub050_sent_learnable_tt_nn.nii.gz	0.124021	0.481974	0.066838	0.393384	
run2_sub057_sent_learnable_tt_nn.nii.gz	0.988931	1.454957	1.339046	1.769911	
run2_sub067_sent_learnable_tt_nn.nii.gz	0.845048	1.531468	0.888204	0.856531	
run2_sub069_sent_learnable_tt_nn.nii.gz	1.092145	1.260727	0.831650	0.841499	
run2_sub073_sent_learnable_tt_nn.nii.gz	1.381339	1.388521	1.716243	1.132501	
