block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,16,,F-WN-Fly,2,2,1,Stimuli\TargetPosition3.bmp,"0,0,1",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition3.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,17,,M-NN-Fly,2,2,1,Stimuli\TargetPosition4.bmp,"0,0,1",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition4.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,18,,F-NN-Fly,2,2,1,Stimuli\TargetPosition5.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition5.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,19,,M-WN-Fly,2,2,1,Stimuli\TargetPosition6.bmp,"0,0,1",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition6.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,20,,F-WN-Fly,2,2,1,Stimuli\TargetPosition7.bmp,"0,0,1",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition7.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,21,,M-NN-Fly,2,2,1,Stimuli\TargetPosition8.bmp,"0,0,1",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition8.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,22,,F-NN-Fly,2,2,1,Stimuli\TargetPosition9.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition9.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,23,,M-WN-Fly,2,2,1,Stimuli\TargetPosition10.bmp,"0,0,1",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition10.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,24,,F-WN-Fly,2,2,1,Stimuli\TargetPosition11.bmp,"0,0,1",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition11.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,25,,M-NN-Fly,2,2,1,Stimuli\TargetPosition12.bmp,"0,0,1",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition12.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,26,,F-NN-Fly,2,2,1,Stimuli\TargetPosition13.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition13.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,27,,M-WN-Fly,2,2,1,Stimuli\TargetPosition14.bmp,"0,0,1",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition14.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
