Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run1_sub013_sent_learnable_co-tt_stats.nii.gz[0]	0.840454	-6.468227	-8.958758	-4.212147	
run1_sub016_sent_learnable_co-tt_stats.nii.gz[0]	-5.535289	-12.317431	-15.488607	-15.415088	
run1_sub019_sent_learnable_co-tt_stats.nii.gz[0]	-10.838487	-5.978775	-13.626195	-12.365359	
run1_sub021_sent_learnable_co-tt_stats.nii.gz[0]	2.520895	14.972748	-13.087467	2.764428	
run1_sub023_sent_learnable_co-tt_stats.nii.gz[0]	8.753777	11.489511	3.047139	16.921958	
run1_sub027_sent_learnable_co-tt_stats.nii.gz[0]	-11.616704	-3.272003	-0.481438	-3.527942	
run1_sub028_sent_learnable_co-tt_stats.nii.gz[0]	-28.527599	-6.870942	-36.124305	-13.300405	
run1_sub033_sent_learnable_co-tt_stats.nii.gz[0]	5.710598	38.551556	0.365617	21.457623	
run1_sub035_sent_learnable_co-tt_stats.nii.gz[0]	11.275429	25.805054	4.340126	19.192426	
run1_sub039_sent_learnable_co-tt_stats.nii.gz[0]	-5.274132	3.374336	-2.396306	7.981447	
run1_sub046_sent_learnable_co-tt_stats.nii.gz[0]	-17.986296	1.808789	-4.183979	4.023518	
run1_sub050_sent_learnable_co-tt_stats.nii.gz[0]	-1.677496	-14.818986	-29.164764	-12.350824	
run1_sub057_sent_learnable_co-tt_stats.nii.gz[0]	6.055233	-8.798309	4.550887	-3.376475	
run1_sub067_sent_learnable_co-tt_stats.nii.gz[0]	5.016984	13.117862	2.599556	7.545734	
run1_sub069_sent_learnable_co-tt_stats.nii.gz[0]	14.958752	18.043568	3.735155	7.948167	
run1_sub073_sent_learnable_co-tt_stats.nii.gz[0]	-0.236450	-5.451442	18.708939	5.970217	
run1_sub013_sent_learnable_co_nn.nii.gz	4.650986	9.163454	1.400658	8.002031	
run1_sub016_sent_learnable_co_nn.nii.gz	2.058753	4.108175	0.733805	3.996814	
run1_sub019_sent_learnable_co_nn.nii.gz	0.679422	8.531901	0.397640	3.321037	
run1_sub021_sent_learnable_co_nn.nii.gz	8.281293	24.759312	1.347605	18.746502	
run1_sub023_sent_learnable_co_nn.nii.gz	11.480951	18.967997	6.869568	23.020920	
run1_sub027_sent_learnable_co_nn.nii.gz	4.553095	13.805794	6.666723	12.643474	
run1_sub028_sent_learnable_co_nn.nii.gz	0.192720	8.247002	0.204500	4.496179	
run1_sub033_sent_learnable_co_nn.nii.gz	12.370983	44.957734	7.816889	31.673814	
run1_sub035_sent_learnable_co_nn.nii.gz	13.628516	31.478280	8.537745	23.959120	
run1_sub039_sent_learnable_co_nn.nii.gz	4.607369	14.643413	7.339810	16.583027	
run1_sub046_sent_learnable_co_nn.nii.gz	1.358464	12.653948	5.776936	11.399049	
run1_sub050_sent_learnable_co_nn.nii.gz	7.061088	5.390090	1.646930	8.131255	
run1_sub057_sent_learnable_co_nn.nii.gz	10.708292	7.284642	7.828469	9.111920	
run1_sub067_sent_learnable_co_nn.nii.gz	7.908534	20.663199	6.233695	12.486855	
run1_sub069_sent_learnable_co_nn.nii.gz	16.056430	22.208515	10.473510	17.436823	
run1_sub073_sent_learnable_co_nn.nii.gz	5.553983	4.986242	18.825648	8.544337	
