Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run3_sub013_sent_learnable_co-tt_stats.nii.gz[0]	11.617407	1.491284	11.379486	3.163104	
run3_sub016_sent_learnable_co-tt_stats.nii.gz[0]	21.250334	9.849215	23.268025	2.837632	
run3_sub019_sent_learnable_co-tt_stats.nii.gz[0]	16.391158	-2.965403	4.130752	-4.748212	
run3_sub021_sent_learnable_co-tt_stats.nii.gz[0]	-7.924965	16.529857	-24.002571	-1.420340	
run3_sub023_sent_learnable_co-tt_stats.nii.gz[0]	32.874810	24.903437	24.236522	23.745703	
run3_sub027_sent_learnable_co-tt_stats.nii.gz[0]	13.587177	11.653975	-8.364398	0.971436	
run3_sub028_sent_learnable_co-tt_stats.nii.gz[0]	9.933949	9.337637	1.058032	-7.161355	
run3_sub033_sent_learnable_co-tt_stats.nii.gz[0]	24.474519	40.036320	15.328799	16.817988	
run3_sub035_sent_learnable_co-tt_stats.nii.gz[0]	-10.972632	-8.330166	-17.209503	-6.319032	
run3_sub039_sent_learnable_co-tt_stats.nii.gz[0]	23.789990	23.932704	-10.840210	8.027624	
run3_sub046_sent_learnable_co-tt_stats.nii.gz[0]	-16.794134	-4.473160	-11.380006	-1.859402	
run3_sub050_sent_learnable_co-tt_stats.nii.gz[0]	-2.064501	-6.090845	-2.439397	-4.938342	
run3_sub057_sent_learnable_co-tt_stats.nii.gz[0]	4.520377	20.030233	5.067512	14.920726	
run3_sub067_sent_learnable_co-tt_stats.nii.gz[0]	13.587116	10.979065	10.050391	3.727884	
run3_sub069_sent_learnable_co-tt_stats.nii.gz[0]	17.776429	26.619765	18.536786	13.167132	
run3_sub073_sent_learnable_co-tt_stats.nii.gz[0]	8.938476	8.053230	-15.409114	10.004353	
run3_sub013_sent_learnable_co_nn.nii.gz	13.343342	15.946065	13.316702	12.383948	
run3_sub016_sent_learnable_co_nn.nii.gz	22.258675	22.231922	24.759333	15.215292	
run3_sub019_sent_learnable_co_nn.nii.gz	20.089199	15.770199	10.065844	8.730429	
run3_sub021_sent_learnable_co_nn.nii.gz	2.147600	24.432952	0.171882	15.949792	
run3_sub023_sent_learnable_co_nn.nii.gz	33.060299	28.307558	24.508469	29.257144	
run3_sub027_sent_learnable_co_nn.nii.gz	18.239513	26.294406	3.308797	16.837099	
run3_sub028_sent_learnable_co_nn.nii.gz	15.266116	17.803313	9.477203	8.288950	
run3_sub033_sent_learnable_co_nn.nii.gz	28.456740	52.761175	18.951755	34.719985	
run3_sub035_sent_learnable_co_nn.nii.gz	1.878854	7.807171	0.831852	6.115457	
run3_sub039_sent_learnable_co_nn.nii.gz	24.405702	27.060635	2.673569	18.311641	
run3_sub046_sent_learnable_co_nn.nii.gz	0.475813	8.973234	0.944326	8.797860	
run3_sub050_sent_learnable_co_nn.nii.gz	4.679422	9.432728	6.718220	10.558809	
run3_sub057_sent_learnable_co_nn.nii.gz	7.517345	23.723974	7.326102	21.318600	
run3_sub067_sent_learnable_co_nn.nii.gz	18.732379	21.378231	13.887306	13.505266	
run3_sub069_sent_learnable_co_nn.nii.gz	21.096789	30.539416	19.311755	20.579392	
run3_sub073_sent_learnable_co_nn.nii.gz	13.159655	19.671471	1.662000	16.860507	
