block,trial,!Item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,14,Training 3back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\Train-4-3back-football_hose_tv_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\football_hose_tv.wav,"0,0,0",250,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\Train-4-3back-football_hose_tv_framed.bmp,"0,.9,0","rt: 4<111,1<211,2<211,3<211,5<211,6<211",*,,,,,,,,,,,,
1,15,Training 3back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\Train-1-3back-boat_lime_corn_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\boat_lime_corn.wav,"0,0,0",250,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\Train-1-3back-boat_lime_corn_framed.bmp,"0,.9,0","rt: 1<112,2<212,3<212,4<212,5<212,6<212",*,,,,,,,,,,,,
0,16,Continue?,0,0,1,~Continue?,"0,0,1",rt:any>13,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,BoneReward1,0,0,1,!Audio\TADA.wav,"0,0,0",0,_Animations\BoneReward1.gif(1024x768),"0,0,0",1500,Background\BoneReward1.bmp,"0,0,0",0,!Audio\BoneReward1.wav,"0,0,0",12750,!Audio\DING.wav,"0,0,0",rt:any,*,,,,,,,,,,,,,,,
1,18,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\1-1back-house_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\house.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\1-1back-house_framed.bmp,"0,.9,0","rt: 1<113,2<213,3<213,4<213,5<213,6<213",*,,,,,,,,,,,,
1,19,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\1-1back-truck_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\truck.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\1-1back-truck_framed.bmp,"0,.9,0","rt: 1<114,2<214,3<214,4<214,5<214,6<214",*,,,,,,,,,,,,
1,20,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\2-1back-blocks_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\blocks.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\2-1back-blocks_framed.bmp,"0,.9,0","rt: 2<115,1<215,3<215,4<215,5<215,6<215",*,,,,,,,,,,,,
1,21,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\2-1back-highchair_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\highchair.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\2-1back-highchair_framed.bmp,"0,.9,0","rt: 2<116,1<216,3<216,4<216,5<216,6<216",*,,,,,,,,,,,,
1,22,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\3-1back-ball_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\ball.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\3-1back-ball_framed.bmp,"0,.9,0","rt: 3<117,1<217,2<217,4<217,5<217,6<217",*,,,,,,,,,,,,
1,23,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\3-1back-ring_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\ring.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\3-1back-ring_framed.bmp,"0,.9,0","rt: 3<118,1<218,2<218,4<218,5<218,6<218",*,,,,,,,,,,,,
1,24,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\4-1back-boots_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\boots.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\4-1back-boots_framed.bmp,"0,.9,0","rt: 4<119,1<219,2<219,3<219,5<219,6<219",*,,,,,,,,,,,,
1,25,BoneReward2,0,0,1,!Audio\TADA.wav,"0,0,0",0,_Animations\BoneReward2.gif(1024x768),"0,0,0",2000,Background\BoneReward2.bmp,"0,0,0",0,!Audio\BoneReward2.wav,"0,0,0",8250,!Audio\DING.wav,"0,0,0",rt:any,*,,,,,,,,,,,,,,,
1,26,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\4-1back-stroller_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\stroller.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\4-1back-stroller_framed.bmp,"0,.9,0","rt: 4<120,1<220,2<220,3<220,5<220,6<220",*,,,,,,,,,,,,
1,27,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\5-1back-airplane_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\airplane.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\5-1back-airplane_framed.bmp,"0,.9,0","rt: 5<121,1<221,2<221,3<221,4<221,6<221",*,,,,,,,,,,,,
1,28,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\5-1back-bus_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\bus.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\5-1back-bus_framed.bmp,"0,.9,0","rt: 5<122,1<222,2<222,3<222,4<222,6<222",*,,,,,,,,,,,,
1,29,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\5-1back-spoon_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\spoon.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\5-1back-spoon_framed.bmp,"0,.9,0","rt: 5<123,1<223,2<223,3<223,4<223,6<223",*,,,,,,,,,,,,
1,30,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\6-1back-leaf_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!1-back\Audio\leaf.wav,"0,0,0",1000,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\6-1back-leaf_framed.bmp,"0,.9,0","rt: 6<124,1<224,2<224,3<224,4<224,5<224",*,,,,,,,,,,,,
1,31,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\1_2-2back-bottle_deer_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\bottle_deer.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\1_2-2back-bottle_deer_framed.bmp,"0,.9,0","rt: 1<125,2<225,3<225,4<225,5<225,6<225",*,,,,,,,,,,,,
1,32,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\1_6-2back-Jacket_lollipop_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\Jacket_lollipop.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\1_6-2back-Jacket_lollipop_framed.bmp,"0,.9,0","rt: 1<126,2<226,3<226,4<226,5<226,6<226",*,,,,,,,,,,,,
1,33,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\2_3-2back-brush_fish_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\brush_fish.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\2_3-2back-brush_fish_framed.bmp,"0,.9,0","rt: 2<127,1<227,3<227,4<227,5<227,6<227",*,,,,,,,,,,,,
1,34,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\2_3-2back-star_hand_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\star_hand.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\2_3-2back-star_hand_framed.bmp,"0,.9,0","rt: 2<128,1<228,3<228,4<228,5<228,6<228",*,,,,,,,,,,,,
1,35,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\2_4-2back-snail_whistle_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\snail_whistle.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\2_4-2back-snail_whistle_framed.bmp,"0,.9,0","rt: 2<129,1<229,3<229,4<229,5<229,6<229",*,,,,,,,,,,,,
1,36,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\3_4-2back-cup_train_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\cup_train.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\3_4-2back-cup_train_framed.bmp,"0,.9,0","rt: 3<130,1<230,2<230,4<230,5<230,6<230",*,,,,,,,,,,,,
1,37,BoneReward3,0,0,1,!Audio\TADA.wav,"0,0,0",0,_Animations\BoneReward3.gif(1024x768),"0,0,0",2000,Background\BoneReward3.bmp,"0,0,0",0,!Audio\BoneReward3.wav,"0,0,0",9000,!Audio\DING.wav,"0,0,0",rt:any,*,,,,,,,,,,,,,,,
