110101	X
110102	X
110201	53.7
110202	69.12
110203	57.37
110204	X
110205	X
110206	X
110207	54.53
110208	57.37
110209	55.42
110210	44.48
110211	46.13
110212	46.91
110213	56.36
110214	57.37
110215	50.61
120101	69.12
120102	X
120103	55.42
120104	X
120106	X
120201	31.28
120202	51.36
120203	X
120204	46.13
120205	61.19
120206	43.58
120207	X
120208	49.88
120209	X
120210	X
120211	X
120212	61.19
120213	57.37
120214	X
130101	X
130102	X
130103	62.96
130104	75.37
130106	X
130301	47.66
130302	46.91
130303	47.66
130401	65.32
130402	47.66
130403	44.48
130404	55.42
130405	44.48
130406	52.89
130501	49.88
130502	52.89
130503	54.53
130504	53.7
130505	43.58
130506	38.98
130601	49.14
130602	50.61
130603	49.14
130604	49.14
130605	37.28
130606	X
130701	X
130702	X
130703	25.09
130704	56.36
130801	52.12
140201	X
140202	X
150101	X
150102	X
150103	X
150104	X
150105	X
150106	X
150107	X
150108	X
150109	X
150110	X
150112	X
150113	56.36
150114	56.36
150115	57.37
150116	75.37
150117	X
150201	X
150202	47.66
150203	X
150204	X
150205	41.56
210101	58.48
210102	55.42
210103	X
210104	55.42
210105	54.53
210106	49.88
210108	45.32
210109	X
210110	X
210111	55.42
210112	57.37
210113	52.89
230101	X
230301	X
230302	65.32
230303	X
230304	59.73
230305	58.48
230306	52.12
230307	X
230308	75.37
230309	X
230310	X
230311	X
230312	X
230313	X
230314	X
230315	X
230316	X
230317	X
230318	X
230319	X
230320	X
230321	X
230322	X
230323	X
230324	48.41
230325	X
230326	X
230327	X
230328	X
230329	X
230330	58.48
230331	X
230332	X
230401	65.32
230402	X
230403	X
240101	40.37
240102	50.61
240103	57.37
240104	55.42
250201	X
250202	59.73
250203	57.37
250204	58.48
250205	X
250206	X
250207	X
250208	65.32
250301	X
260301	50.61
260302	59.73
260601	47.66
270301	56.36
270302	X
270303	38.98
270304	35
270305	25.09
270306	47.66
270307	X
270308	50.61
270309	65.32
270310	X
280201	X
280202	37.28
280203	49.14
280301	61.19
280302	46.91
280303	44.48
280304	40.37
280305	25.09
280306	X
280308	X
280309	40.37
280310	46.91
280311	40.37
280313	38.98
280314	55.42
280315	46.13
280316	40.37
280317	25.09
280318	38.98
280319	X
280320	X
280321	44.48
280401	X
290201	X
290202	X
290203	53.7
290204	47.66
290205	X
290301	54.53
290401	X
310101	X
310102	65.32
310103	25.09
310104	X
310105	58.48
310106	57.37
310107	55.42
310108	56.36
310109	X
310110	65.32
310111	56.36
310112	47.66
310113	25.09
310114	62.96
310120	X
310121	59.73
310130	59.73
310131	52.12
310132	25.09
310133	52.89
310134	51.36
310136	25.09
310137	45.32
310138	61.19
310139	61.19
310140	50.61
310141	25.09
310142	X
310143	X
310144	44.48
310145	X
310146	49.88
310147	X
310148	X
310149	X
310150	25.09
310151	59.73
310152	59.73
310153	38.98
310154	25.09
310155	50.61
310156	31.28
310157	46.91
310158	55.42
310159	X
310160	X
310161	X
310162	X
310163	69.12
310164	X
310165	X
310167	25.09
310168	44.48
310201	35
310202	45.32
310203	54.53
310204	X
310205	46.91
310206	X
310207	47.66
310208	58.48
310209	58.48
310210	X
310211	55.42
310212	59.73
310213	61.19
310214	X
310215	58.48
310216	59.73
310217	25.09
310218	53.7
310219	X
310220	25.09
310221	56.36
310222	57.37
310223	51.36
310224	62.96
310225	47.66
310226	57.37
310227	54.53
310228	62.96
310229	65.32
310230	55.42
310231	55.42
310232	25.09
310233	46.91
310234	55.42
310235	54.53
310236	56.36
310237	48.41
310238	56.36
310239	48.41
310240	35
310241	49.14
310242	51.36
310243	61.19
310244	56.36
310245	55.42
310246	58.48
310247	57.37
310248	40.37
310249	59.73
