110101	44.03
110102	44.03
110201	X
110202	X
110203	X
110204	53.46
110205	52.91
110206	55.81
110207	X
110208	X
110209	X
110210	X
110211	X
110212	X
110213	X
110214	X
110215	X
120101	X
120102	54.59
120103	X
120104	54.59
120106	56.46
120201	X
120202	X
120203	48.83
120204	X
120205	X
120206	X
120207	50.83
120208	X
120209	48.33
120210	52.91
120211	46.28
120212	X
120213	X
120214	54.59
130101	54.59
130102	47.83
130103	X
130104	X
130106	49.83
130301	X
130302	X
130303	X
130401	X
130402	X
130403	X
130404	X
130405	X
130406	X
130501	X
130502	X
130503	X
130504	X
130505	X
130506	X
130601	X
130602	X
130603	X
130604	X
130605	X
130606	X
130701	57.14
130702	30.94
130703	X
130704	X
130801	X
140201	54.01
140202	54.01
150101	60.38
150102	51.86
150103	55.19
150104	60.38
150105	55.81
150106	57.14
150107	48.83
150108	59.47
150109	62.5
150110	60.38
150112	57.87
150113	X
150114	X
150115	X
150116	X
150117	55.81
150201	48.33
150202	X
150203	45.19
150204	50.83
150205	X
210101	X
210102	X
210103	61.38
210104	X
210105	X
210106	X
210108	X
210109	53.46
210110	54.59
210111	X
210112	X
210113	X
230101	50.83
230301	57.14
230302	X
230303	54.59
230304	X
230305	X
230306	X
230307	56.46
230308	X
230309	55.19
230310	48.83
230311	47.83
230312	55.81
230313	58.64
230314	53.46
230315	53.46
230316	52.91
230317	58.64
230318	52.91
230319	56.46
230320	57.87
230321	51.34
230322	46.28
230323	57.87
230324	X
230325	55.81
230326	57.87
230327	59.47
230328	62.5
230329	40.61
230330	X
230331	54.01
230332	42.78
230401	X
230402	39.77
230403	48.33
240101	X
240102	X
240103	X
240104	X
250201	55.19
250202	X
250203	X
250204	X
250205	47.32
250206	54.01
250207	54.01
250208	X
250301	52.91
260301	X
260302	X
260601	X
270301	X
270302	57.14
270303	X
270304	X
270305	X
270306	X
270307	33.38
270308	X
270309	X
270310	52.38
280201	50.83
280202	X
280203	X
280301	X
280302	X
280303	X
280304	X
280305	X
280306	36.6
280308	41.38
280309	X
280310	X
280311	X
280313	X
280314	X
280315	X
280316	X
280317	X
280318	X
280319	43.42
280320	47.32
280321	X
280401	X
290201	46.28
290202	42.1
290203	X
290204	X
290205	49.33
290301	X
290401	48.33
310101	45.74
310102	X
310103	X
310104	44.62
310105	X
310106	X
310107	X
310108	X
310109	49.83
310110	X
310111	X
310112	X
310113	X
310114	X
310120	52.38
310121	X
310130	X
310131	X
310132	X
310133	X
310134	X
310136	X
310137	X
310138	X
310139	X
310140	X
310141	X
310142	20.55
310143	38.84
310144	X
310145	45.74
310146	X
310147	49.33
310148	48.83
310149	46.8
310150	X
310151	X
310152	X
310153	X
310154	X
310155	X
310156	X
310157	X
310158	X
310159	58.64
310160	38.84
310161	52.38
310162	57.87
310163	X
310164	57.14
310165	55.19
310167	X
310168	X
310201	X
310202	X
310203	X
310204	50.33
310205	X
310206	57.87
310207	X
310208	X
310209	X
310210	52.91
310211	X
310212	X
310213	X
310214	52.38
310215	X
310216	X
310217	X
310218	X
310219	40.61
310220	X
310221	X
310222	X
310223	X
310224	X
310225	X
310226	X
310227	X
310228	X
310229	X
310230	X
310231	X
310232	X
310233	X
310234	X
310235	X
310236	X
310237	X
310238	X
310239	X
310240	X
310241	X
310242	X
310243	X
310244	X
310245	X
310246	X
310247	X
310248	X
310249	X
310250	X
310251	X
310252	58.64
310253	54.01
310254	X
310255	X
310256	X
310257	X
310258	48.83
310259	X
310260	X
310261	X
310262	55.19
310263	X
310264	47.32
310265	26.98
310266	X
310267	X
310268	60.38
310269	X
310270	X
310271	X
310272	X
310273	X
310274	X
310275	X
310276	X
310277	X
310278	X
310279	X
310280	X
310281	X
310282	54.59
310283	X
310284	X
310285	51.86
310286	X
310287	55.19
310288	X
310289	X
310290	52.38
310291	52.38
310292	56.46
310293	X
310294	X
310295	X
310296	X
310297	X
310298	X
310299	X
310301	56.46
310302	X
310303	X
310304	50.83
310305	X
310306	X
310307	X
310308	X
310309	43.42
310310	X
310311	X
310312	X
310313	X
310314	X
310315	X
310316	X
310317	48.83
310318	47.32
310320	X
310321	X
310322	X
310323	X
310324	X
310325	X
310326	X
310327	52.38
310328	55.81
310329	X
310330	53.46
310331	X
310332	55.19
310333	X
310334	X
310335	X
310336	54.59
310337	49.83
310338	X
310339	X
310340	X
310341	X
310343	41.38
310344	X
310345	40.61
310347	45.74
310348	X
310349	X
310350	X
310351	X
310352	X
310353	X
310354	53.46
310355	X
310356	49.83
310357	X
310359	47.83
310360	57.14
310361	51.34
310362	X
310363	X
310364	47.83
310365	X
310366	45.19
310367	X
310368	X
310369	X
310370	39.77
310371	X
310372	X
310373	52.38
310374	X
310375	52.38
310376	X
310377	X
310378	X
310379	X
310380	54.01
310381	X
310382	49.83
310383	58.64
310384	X
310385	X
310386	35.17
310388	X
310389	47.83
310390	X
310391	X
310392	X
310393	X
310394	X
310395	X
310396	X
310397	X
310398	X
310399	X
310401	X
310402	44.03
310403	46.28
310404	38.84
310405	46.8
310406	43.42
310407	41.38
310408	47.32
310409	X
310410	X
310411	X
310412	X
310413	X
310414	X
310415	X
310416	X
310417	X
310418	X
310419	X
310420	X
310421	X
310422	X
310423	X
310424	X
310425	X
310426	X
310427	X
310428	X
310429	X
310430	X
310431	X
310432	X
310433	X
310434	X
310435	X
310501	X
310502	55.19
310503	51.34
310504	X
310505	X
310506	51.86
310601	54.01
310602	X
310603	X
310604	X
310605	50.83
310606	56.46
310607	48.83
310608	X
310609	X
310610	X
310611	X
310612	52.91
310613	54.59
310614	X
310615	X
310616	X
310617	53.46
310618	X
310619	50.83
310620	X
310621	48.83
310622	X
310623	X
310624	X
310625	X
310626	X
310627	56.46
310628	X
310629	51.34
310630	X
310631	X
