block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,45,Fm2,0,0,9,~Acquisition...khranitelyem2.wav,"0,0,0",2050,!Female/masculine/khranitelyem2.wav,"0,0,0",rt:5,*
-1,46,Fm2,0,0,9,~Acquisition...sozdatelyem2.wav,"0,0,0",2111,!Female/masculine/sozdatelyem2.wav,"0,0,0",rt:5,*
-1,47,Ff2,0,0,9,~Acquisition...vorovkau2.wav,"0,0,0",2113,!Female/feminine/vorovkau2.wav,"0,0,0",rt:5,*
-1,48,Ff2,0,0,9,~Acquisition...skovorodkaoj2.wav,"0,0,0",2061,!Female/feminine/skovorodkaoj2.wav,"0,0,0",rt:5,*
-1,49,Ff1,0,0,9,~Acquisition...zhenschinau2.wav,"0,0,0",2029,!Female/feminine/zhenschinau2.wav,"0,0,0",rt:5,*
-1,50,Mf1,0,0,9,~Acquisition...ulitsu2.wav,"0,0,0",2089,!Male/feminine/ulitsu2.wav,"0,0,0",rt:5,*
-1,51,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,52,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,53,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,54,Mf1,0,0,9,~Acquisition...vysotu2.wav,"0,0,0",2096,!Male/feminine/vysotu2.wav,"0,0,0",rt:5,*
-1,55,Mf2,0,0,9,~Acquisition...podushkoj2.wav,"0,0,0",2178,!Male/feminine/podushkoj2.wav,"0,0,0",rt:5,*
-1,56,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,57,Ff1,0,0,9,~Acquisition...stranistsaoj2.wav,"0,0,0",2128,!Female/feminine/stranistsaoj2.wav,"0,0,0",rt:5,*
-1,58,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,59,Ff2,0,0,9,~Acquisition...blondinkau2.wav,"0,0,0",2190,!Female/feminine/blondinkau2.wav,"0,0,0",rt:5,*
-1,60,Fm2,0,0,9,~Acquisition...pokupatelya2.wav,"0,0,0",2120,!Female/masculine/pokupatelya2.wav,"0,0,0",rt:5,*
-1,61,Ff1,0,0,9,~Acquisition...kozhau2.wav,"0,0,0",2145,!Female/feminine/kozhau2.wav,"0,0,0",rt:5,*
-1,62,Ff2,0,0,9,~Acquisition...brujunetkaoj2.wav,"0,0,0",2053,!Female/feminine/brujunetkaoj2.wav,"0,0,0",rt:5,*
-1,63,Mf2,0,0,9,~Acquisition...babushku2.wav,"0,0,0",2197,!Male/feminine/babushku2.wav,"0,0,0",rt:5,*
-1,64,Mm2,0,0,9,~Acquisition...obyvatelyem2.wav,"0,0,0",2069,!Male/masculine/obyvatelyem2.wav,"0,0,0",rt:5,*
-1,65,Mf2,0,0,9,~Acquisition...snezhinku2.wav,"0,0,0",2102,!Male/feminine/snezhinku2.wav,"0,0,0",rt:5,*
-1,66,Ff2,0,0,9,~Acquisition...brjunetkau2.wav,"0,0,0",2164,!Female/feminine/brjunetkau2.wav,"0,0,0",rt:5,*
