59.26	330105
63.67	330104
48.9	330101
X	310388
X	330103
X	330102
66.02	410902
X	310384
X	310386
53.82	310381
X	310380
X	310383
X	310382
X	351346
48.21	351347
X	351344
X	351345
51.65	351342
X	351343
45.31	351340
X	351341
X	351348
59.26	351349
X	310284
58.17	240104
41.84	240101
55.41	240103
50.26	240102
X	410344
54.6	410345
X	410346
44.52	410347
63.67	410340
47.51	410341
X	410342
53.08	410343
X	410348
52.35	310281
61.92	350114
X	340702
58.17	310283
43.69	350915
X	310420
X	310421
42.8	350907
X	350113
X	310120
X	490124
X	310385
58.17	490126
X	310158
X	310159
X	490122
X	410903
X	310154
X	310155
42.8	310156
X	310157
X	310150
60.49	310151
X	310152
39.6	310153
X	410901
X	411501
63.67	411503
53.08	340804
57.18	411505
66.02	411504
43.69	411506
X	410904
X	370504
39.6	410174
X	450223
60.49	450222
X	410171
X	410170
X	351823
47.51	351822
X	351821
X	351820
60.49	351827
X	351826
X	351825
X	351824
X	351829
X	351828
X	380106
X	380107
X	380104
X	380105
52.35	380102
X	380103
X	380101
X	280303
X	280302
60.49	280301
X	280306
48.9	280305
X	280304
36.49	280309
X	280308
50.26	130503
53.08	130502
X	130501
41.84	130506
X	130505
X	130504
51.65	360126
53.82	360124
X	360125
X	360122
49.58	360123
54.6	310628
X	310629
55.41	310626
X	310627
X	310624
60.49	310625
63.67	310622
57.18	310623
X	310620
X	310621
48.21	311005
58.17	311004
X	311001
61.92	351350
60.49	311002
X	420101
59.26	420103
X	420102
X	420105
X	420104
X	360517
51.65	360516
X	310149
X	310148
X	310143
X	310142
42.8	310141
X	310140
X	310147
48.9	310146
X	310145
42.8	310144
X	350507
46.8	350506
59.26	350505
X	350504
48.21	350503
63.67	350502
60.49	350501
53.08	410108
X	410109
X	490125
X	410614
50.26	410615
52.35	410612
52.35	410613
X	410610
X	410611
X	490120
X	490121
X	490123
54.6	380111
X	380110
X	380113
X	380112
X	313399
X	410728
49.58	410722
58.17	410723
X	410720
57.18	410721
45.31	410726
X	410727
50.95	410724
X	310701
X	310703
41.84	310702
X	310705
39.6	310704
X	310706
40.79	280202
X	280203
60.49	351102
X	280201
X	310639
X	310638
52.35	360133
58.17	310635
48.9	310634
X	310637
61.92	310636
X	310631
45.31	310630
X	310633
X	310632
X	130402
X	130403
X	130401
52.35	130406
55.41	130404
66.02	130405
X	150112
55.41	150113
X	150110
X	150116
X	150117
60.49	150114
66.02	150115
X	230403
X	230402
X	230401
X	410172
X	110206
X	110207
X	110204
X	110205
61.92	110202
57.18	110203
57.18	110201
X	110208
58.17	110209
X	360101
X	410113
41.84	410114
X	340704
X	310285
57.18	310286
X	310287
45.31	310280
X	340701
X	310282
X	340703
39.6	310288
61.92	310289
X	313302
X	410609
50.95	410608
38.2	410605
X	410604
X	410607
X	410606
X	410601
X	350403
40.79	410603
X	410602
46.8	360812
58.17	360813
X	360810
X	360811
